idporto,locode,nome,localita,tipo_amministrazione_porto,rilievo_nazionale,rilevanza_nazionale,caso_speciale,note_caso_speciale,lat,lon
16230,ITVUL,Vulcano porto,Vulcano Porto,TERRITORIALE,NO,NO,NO,,,
16166,ITTMI,Termoli,Termoli,NAZIONALE,NO,NO,NO,,,
16067,ITAOL,Acciaroli,Acciaroli,TERRITORIALE,NO,NO,NO,,40.1666666667,15.0166666667
16029,ITACL,Aci Castello,Aci Castello,TERRITORIALE,NO,NO,NO,,37.55,15.1166666667
16030,ITACT,Acitrezza,Acitrezza,TERRITORIALE,SI,NO,NO,,37.55,15.15
16059,ITAGP,Agropoli,Agropoli,TERRITORIALE,SI,NO,NO,,40.35,14.9833333333
56954,ITAUO,Agugliano,Agugliano,TERRITORIALE,NO,NO,NO,,,
16062,ITALS,Alassio,Alassio,TERRITORIALE,NO,NO,NO,,44,8.1666666667
16060,ITAHO,Alghero,Alghero,NAZIONALE,NO,NO,NO,,,
16061,ITALI,Alicudi,Alicudi,TERRITORIALE,NO,NO,NO,,,
16063,ITAMA,Amalfi,Amalfi,NAZIONALE,NO,NO,NO,,,
16064,ITAMT,Amantea,Amantea,TERRITORIALE,NO,NO,NO,,39.1166666667,16.0666666667
16302,ITGLJ,Camogli,Camogli,TERRITORIALE,NO,NO,NO,,44.35,9.15
18513,ITNIG,Cannigione,Cannigione,TERRITORIALE,NO,NO,NO,,,
16068,ITAOR,Caorle,Caorle,TERRITORIALE,NO,NO,NO,,45.6,12.8833333333
18620,ITCCB,Cape Carbonara,Cape Carbonara,TERRITORIALE,NO,NO,NO,,,
16939,ITCOQ,Capo d'Orlando,Capo D'orlando,TERRITORIALE,NO,NO,NO,,38.1666666667,14.75
16035,ITPRJ,Capri,Capri,NAZIONALE,NO,NO,NO,,,
16261,ITFOM,Formia,Formia,NAZIONALE,NO,NO,NO,,,
56957,ITCL4,Cellole,Cellole,TERRITORIALE,NO,NO,NO,,,
16938,ITCNT,Cesenatico,Cesenatico,TERRITORIALE,NO,NO,NO,,44.2,12.4
16153,ITTAA,Cetara,Cetara,TERRITORIALE,NO,NO,NO,,40.6333333333,14.7
